"2014/03/12 02:24:48","11322","0","85","6358m","996m","1449.00","46756"
"2014/03/12 02:24:51","11322","0","85","6358m","996m","1450.00","46756"
"2014/03/12 02:24:55","11322","0","85","6358m","996m","1463.00","46757"
"2014/03/12 02:24:58","11322","0","85","6358m","996m","1471.00","46756"
"2014/03/12 02:25:01","11322","0","85","6358m","996m","1443.00","46757"
"2014/03/12 02:25:04","11322","0","85","6358m","996m","1467.00","46756"
"2014/03/12 02:25:08","11322","0","85","6358m","997m","1432.00","46756"
"2014/03/12 02:25:11","11322","0","85","6358m","996m","1476.00","46756"
"2014/03/12 02:25:14","11322","0","85","6358m","996m","1448.00","46757"
"2014/03/12 02:25:17","11322","0","85","6358m","996m","1427.00","46757"
"2014/03/12 02:25:21","11322","0","85","6358m","996m","1472.00","46757"
"2014/03/12 02:25:24","11322","0","85","6358m","996m","1475.00","46757"
"2014/03/12 02:25:27","11322","0","85","6358m","996m","1443.00","46755"
"2014/03/12 02:25:31","11322","0","85","6358m","996m","1418.00","46755"
"2014/03/12 02:25:34","11322","0","85","6358m","996m","1424.00","46757"
"2014/03/12 02:25:37","11322","0","85","6358m","996m","1473.00","46756"
"2014/03/12 02:25:41","11322","0","85","6358m","997m","1458.00","46756"
"2014/03/12 02:25:44","11322","0","85","6358m","996m","1476.00","46756"
"2014/03/12 02:25:47","11322","0","85","6358m","996m","1460.00","46756"
"2014/03/12 02:25:50","11322","0","85","6358m","996m","1488.00","46757"
"2014/03/12 02:25:54","11322","0","85","6358m","997m","1458.00","46757"
"2014/03/12 02:25:57","11322","0","85","6358m","996m","1437.00","46757"
"2014/03/12 02:26:00","11322","0","85","6358m","996m","1455.00","46757"
"2014/03/12 02:26:03","11322","0","85","6358m","996m","1370.00","46756"
"2014/03/12 02:26:07","11322","0","85","6358m","997m","1484.00","46757"
"2014/03/12 02:26:10","11322","0","85","6358m","997m","1462.00","46756"
"2014/03/12 02:26:13","11322","0","85","6358m","997m","1448.00","46756"
"2014/03/12 02:26:16","11322","0","85","6358m","997m","1468.00","46756"
"2014/03/12 02:26:20","11322","0","85","6358m","997m","1412.00","46756"
